Bingo
# 1
ID	时间	记录类型	葡萄糖历史记录（mmol/L）
71462	2021/12/22 12:13	0	6.9
71463	2021/12/22 12:28	0	8.2
71464	2021/12/22 12:43	0	7.8
71465	2021/12/22 12:58	0	6.8
71466	2021/12/22 13:13	0	6.2
71467	2021/12/22 13:28	0	6.1
71468	2021/12/22 13:43	0	6.0
71469	2021/12/22 13:58	0	6.3
71470	2021/12/22 14:13	0	6.3
71471	2021/12/22 14:28	0	5.5
71472	2021/12/22 14:43	0	4.9
71473	2021/12/22 14:58	0	5.1
71474	2021/12/22 15:13	0	4.9
71475	2021/12/22 15:28	0	4.6
71476	2021/12/22 15:43	0	4.7
71477	2021/12/22 15:58	0	4.8
71478	2021/12/22 16:13	0	4.8
71479	2021/12/22 16:28	0	4.7
71480	2021/12/22 16:43	0	4.7
71481	2021/12/22 16:58	0	4.8
71482	2021/12/22 17:13	0	4.8
71483	2021/12/22 17:28	0	4.7
71484	2021/12/22 17:43	0	4.6
71485	2021/12/22 17:58	0	4.6
71486	2021/12/22 18:13	0	4.6
71487	2021/12/22 18:28	0	4.7
71488	2021/12/22 18:43	0	4.7
71489	2021/12/22 18:58	0	4.4
71490	2021/12/22 19:13	0	4.3
71491	2021/12/22 19:28	0	4.4
71492	2021/12/22 19:43	0	4.6
71493	2021/12/22 19:58	0	4.7
71494	2021/12/22 20:13	0	4.6
71495	2021/12/22 20:28	0	4.5
71496	2021/12/22 20:43	0	4.4
71497	2021/12/22 20:58	0	4.4
71498	2021/12/22 21:13	0	4.4
71499	2021/12/22 21:28	0	4.4
71500	2021/12/22 21:43	0	4.9
71501	2021/12/22 21:58	0	6.7
71502	2021/12/22 22:13	0	8.8
71503	2021/12/22 22:28	0	10.4
71504	2021/12/22 22:43	0	11.7
71505	2021/12/22 22:58	0	11.9
71506	2021/12/22 23:13	0	10.8
71507	2021/12/22 23:28	0	9.9
71508	2021/12/22 23:43	0	9.4
71509	2021/12/22 23:58	0	8.2
71510	2021/12/23 00:13	0	7.0
71511	2021/12/23 00:28	0	7.4
71512	2021/12/23 00:43	0	8.1
71513	2021/12/23 00:58	0	8.0
71514	2021/12/23 01:13	0	7.2
71515	2021/12/23 01:28	0	6.7
71516	2021/12/23 01:43	0	6.7
71517	2021/12/23 01:58	0	6.4
71518	2021/12/23 02:13	0	5.7
71519	2021/12/23 02:28	0	5.1
71520	2021/12/23 02:43	0	4.1
71521	2021/12/23 02:58	0	3.7
71522	2021/12/23 03:13	0	4.0
71523	2021/12/23 03:28	0	4.6
71524	2021/12/23 03:43	0	5.4
71525	2021/12/23 03:58	0	5.2
71526	2021/12/23 04:13	0	4.4
71527	2021/12/23 04:28	0	4.3
71528	2021/12/23 04:43	0	4.7
71529	2021/12/23 04:58	0	5.0
71530	2021/12/23 05:13	0	5.2
71531	2021/12/23 05:28	0	5.4
71532	2021/12/23 05:43	0	5.4
71533	2021/12/23 05:58	0	5.2
71534	2021/12/23 06:13	0	5.0
71535	2021/12/23 06:28	0	4.8
71536	2021/12/23 06:43	0	4.6
71537	2021/12/23 06:58	0	4.7
71538	2021/12/23 07:13	0	4.9
71539	2021/12/23 07:28	0	5.0
71540	2021/12/23 07:43	0	4.9
71541	2021/12/23 07:58	0	4.9
71542	2021/12/23 08:13	0	5.1
71543	2021/12/23 08:28	0	5.0
71544	2021/12/23 08:43	0	4.9
71545	2021/12/23 08:58	0	4.9
71546	2021/12/23 09:13	0	5.1
71547	2021/12/23 09:28	0	5.3
71548	2021/12/23 09:43	0	5.2
71549	2021/12/23 09:58	0	5.0
71550	2021/12/23 10:13	0	4.8
71551	2021/12/23 10:28	0	4.8
71552	2021/12/23 10:43	0	5.1
71553	2021/12/23 10:58	0	5.2
71554	2021/12/23 11:13	0	5.1
71555	2021/12/23 11:28	0	4.8
71556	2021/12/23 11:43	0	4.8
71557	2021/12/23 11:58	0	5.1
71558	2021/12/23 12:13	0	5.3
71559	2021/12/23 12:28	0	5.1
71560	2021/12/23 12:43	0	5.0
71561	2021/12/23 12:58	0	5.3
71562	2021/12/23 13:13	0	5.5
71563	2021/12/23 13:28	0	5.7
71564	2021/12/23 13:43	0	6.1
71565	2021/12/23 13:58	0	6.4
71566	2021/12/23 14:13	0	6.1
71567	2021/12/23 14:28	0	5.5
71568	2021/12/23 14:43	0	5.4
71569	2021/12/23 14:58	0	5.3
71570	2021/12/23 15:13	0	5.1
71571	2021/12/23 15:28	0	5.3
71572	2021/12/23 15:43	0	5.5
71573	2021/12/23 15:58	0	5.5
71574	2021/12/23 16:13	0	5.4
71575	2021/12/23 16:28	0	5.3
71576	2021/12/23 16:43	0	5.2
71577	2021/12/23 16:58	0	5.4
71578	2021/12/23 17:13	0	5.6
71579	2021/12/23 17:28	0	5.6
71580	2021/12/23 17:43	0	5.4
71581	2021/12/23 17:58	0	5.4
71582	2021/12/23 18:13	0	6.5
71583	2021/12/23 18:28	0	8.6
71584	2021/12/23 18:43	0	9.4
